_id,Programme,University,Programme_Fee,Country,Address,Latitude,Longitude
2321,"Telecommunications, MS",George Mason University Volgenau School of Engineering,/,USA,"Innovation Drive,9485, 20110, Manassas",-77.5222959,38.7517596
2322,"Electrical Engineering, MS",George Mason University Volgenau School of Engineering,/,USA,"Innovation Drive,9485, 20110, Manassas",-77.5222959,38.7517596
2323,Master of Health Care Administration,"University of Nevada, Las Vegas School of Public Health",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2324,Master of Community and Regional Planning (MCRP),University of New Mexico School of Architecture and Planning,/,USA,", 87106, Albuquerque",-106.6217623,35.0843966
2325,Master of Architecture (M Arch),University of New Mexico School of Architecture and Planning,/,USA,", 87106, Albuquerque",-106.6217623,35.0843966
2326,Master of Landscape Architecture,University of New Mexico School of Architecture and Planning,/,USA,", 87106, Albuquerque",-106.6217623,35.0843966
2327,Master of Science - Biochemistry,"University of Nevada, Las Vegas College of Sciences",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2328,Master of Science - Biological Sciences,"University of Nevada, Las Vegas College of Sciences",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2329,Master of Science - Mathematical Sciences,"University of Nevada, Las Vegas College of Sciences",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2330,Master of Social Work,"University of Nevada, Las Vegas Greenspun College of Urban Affairs",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2331,Master of Arts - Criminal Justice,"University of Nevada, Las Vegas Greenspun College of Urban Affairs",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2332,Master of Science in Engineering - Mechanical Engineering,"University of Nevada, Las Vegas Howard R. Hughes College of Engineering",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2333,Master of Science in Aerospace Engineering,"University of Nevada, Las Vegas Howard R. Hughes College of Engineering",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2334,Master of Arts - Journalism and Media Studies,"University of Nevada, Las Vegas Greenspun College of Urban Affairs",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2335,Master of Science in Engineering - Civil and Environmental Engineering,"University of Nevada, Las Vegas Howard R. Hughes College of Engineering",/,USA,"South Maryland Parkway,4505, 89154, Las Vegas",-115.1444487,36.1065217
2336,Master of Science in Measurement and Control Engineering,Idaho State University College of Science and Engineering,/,USA,"South 8th Avenue,921, 83209, Pocatello",-112.4328737,42.8580104
2337,Master of Science in Mechanical Engineering,Idaho State University College of Science and Engineering,/,USA,"South 8th Avenue,921, 83209, Pocatello",-112.4328737,42.8580104
2338,Master in Food Science and Technology,Iowa State University College of Agriculture and Life Sciences,/,USA,", 50011, Ames",-93.6480307,42.0288663
2339,"Transformative School Leadership Program (licensure recommendation), M.Ed.",Iowa State University School of Education,/,USA,"Lagomarcino Hall,1620, 50011, Ames",-93.6456391,42.0297367
2340,Master in Agricultural and Biosystems Engineering,Iowa State University College of Agriculture and Life Sciences,/,USA,", 50011, Ames",-93.6480307,42.0288663
2341,"Educational technology emphasis, M.Ed./M.S.",Iowa State University School of Education,/,USA,"Lagomarcino Hall,1620, 50011, Ames",-93.6456391,42.0297367
2342,"Special education emphasis, M.Ed./M.S.",Iowa State University School of Education,/,USA,"Lagomarcino Hall,1620, 50011, Ames",-93.6456391,42.0297367
2343,Professional Master of Industrial Engineering,New Mexico State University College of Engineering,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2344,Professional Master of Civil Engineering,New Mexico State University College of Engineering,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2345,Professional Master of Civil Engineering,New Mexico State University College of Engineering,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2346,Master of Social Work,New Mexico State University College of Health and Social Services,/,USA,"International Mall,1335, 88003, Las Cruces",-106.7508782,32.2829134
2347,Master of Criminal Justice,New Mexico State University Online,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2348,Master of Arts in Sociology,New Mexico State University Online,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2349,"Master of Science Family and Consumer Sciences Teaching, Research, and Administration",New Mexico State University Online,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2350,Master of Science in Civil Engineering,Idaho State University College of Science and Engineering,/,USA,"South 8th Avenue,921, 83209, Pocatello",-112.4328737,42.8580104
2351,Master in Agricultural Economics,Iowa State University College of Agriculture and Life Sciences,/,USA,", 50011, Ames",-93.6480307,42.0288663
2352,Animal Science Graduate Program,"New Mexico State University College of Agricultural, Consumer and Environmental Sciences (ACES)",/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2353,"Master of Science degree in Fish, Wildlife and Conservation Ecology","New Mexico State University College of Agricultural, Consumer and Environmental Sciences (ACES)",/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2354,Computer Science - Master of Science,New Mexico State University College of Arts and Sciences,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2355,Master of Science in Agricultural Economics,"New Mexico State University College of Agricultural, Consumer and Environmental Sciences (ACES)",/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2356,Biology - Master of Science,New Mexico State University College of Arts and Sciences,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2357,Government - Master of Arts,New Mexico State University College of Arts and Sciences,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2358,Master of Arts in Special Education (MA),New Mexico State University College of Education,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2359,Specialist in Education (Ed.S.),New Mexico State University College of Education,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2360,Master of Arts in Education for licensed PK-12 teachers,New Mexico State University College of Education,/,USA,"East University Avenue,1780, 88003, Las Cruces",-106.7448267,32.2847126
2361,Mechanics of Solids Research,Brown University School of Engineering,/,USA,"Hope Street,184, 02912, Providence",-71.398302,41.8268574
2362,Master's in Technology Leadership,Brown University School of Engineering,/,USA,"Hope Street,184, 02912, Providence",-71.398302,41.8268574
2363,Masters of Science (ScM) in Innovation Management & Entrepreneurship,Brown University School of Engineering,/,USA,"Hope Street,184, 02912, Providence",-71.398302,41.8268574
2364,Online MS in Applied Business Analytics,Davis College Of Business- Jacksonville University,/,USA,"University Oaks Drive, 32211, Jacksonville",-81.60457,30.3542512
2365,Master of Arts in Strategic Leadership,Bethel University Minnesota,/,USA,"Bethel Drive,3900, 55112, Saint Paul",-93.1624341,45.0575752
2366,Master of Arts in Teaching,Bethel University Minnesota,/,USA,"Bethel Drive,3900, 55112, Saint Paul",-93.1624341,45.0575752
2367,M.S. in Information Systems Technology,Coastal Carolina University Online,/,USA,"Chanticleer Drive East,100, 29528, Conway",-79.01327102,33.7978014
2368,Full Time MBA Program,"Pamplin College of Business, Virginia Polytechnic Institute and State University",/,USA,"Pamplin College of Business, Virginia Polytechnic Institute and State University 210 Burruss Hall, 24061-0002, Blacksburg",-80.4218679,37.2220827
2369,M.S. in Accounting and Information Systems,"Pamplin College of Business, Virginia Polytechnic Institute and State University",/,USA,"Pamplin College of Business, Virginia Polytechnic Institute and State University 210 Burruss Hall, 24061-0002, Blacksburg",-80.4218679,37.2220827
2370,Master in Hospitality and Tourism Management,"Pamplin College of Business, Virginia Polytechnic Institute and State University",/,USA,"Pamplin College of Business, Virginia Polytechnic Institute and State University 210 Burruss Hall, 24061-0002, Blacksburg",-80.4218679,37.2220827
2371,Master of Information Technology,"Pamplin College of Business, Virginia Polytechnic Institute and State University",7284,USA,"Pamplin College of Business, Virginia Polytechnic Institute and State University 210 Burruss Hall, 24061-0002, Blacksburg",-80.4218679,37.2220827
2372,MA in Economics,"California State University at Fullerton,Steven G. Mihaylo College of Business and Economics",7500,USA,", , Los Angeles",-118.2436596,34.0522265
2373,MS in Taxation,"California State University at Fullerton,Steven G. Mihaylo College of Business and Economics",7500,USA,", , Los Angeles",-118.2436596,34.0522265
2374,MS in Accountancy,"California State University at Fullerton,Steven G. Mihaylo College of Business and Economics",7500,USA,", , Los Angeles",-118.2436596,34.0522265
2375,Master in Public Affairs,Brown University,/,USA,", 02912, College Hill",-71.4013635,41.8265437
2376,Master of Educational Leadership,Coastal Carolina University Spadoni College of Education,/,USA,"Chanticleer Drive East,100, 29528, Conway",-79.01241271,33.7964462
2377,Master of Education (M.Ed.) in Instructional Technology,Coastal Carolina University Spadoni College of Education,/,USA,"Chanticleer Drive East,100, 29528, Conway",-79.01241271,33.7964462
2378,Master of Accountancy (MAcc),Coastal Carolina University E. Craig Wall Sr. College of Business,/,USA,"Chanticleer Drive East,100, 29528, Conway",-79.01305644,33.79580426
2379,Administration of Elementary and Secondary Education M.Ed.,Auburn University College of Education,/,USA,"Thach Concourse,351, 36849, Auburn",-85.4867928,32.6033955
2380,Administration of Higher Education M.Ed.,Auburn University College of Education,/,USA,"Thach Concourse,351, 36849, Auburn",-85.4867928,32.6033955
2381,Adult Education M.Ed./M.S.,Auburn University College of Education,/,USA,"Thach Concourse,351, 36849, Auburn",-85.4867928,32.6033955
2382,Master of Science MS,Auburn University School of Forestry and Wildlife Sciences,/,USA,"Duncan Drive,602, 36849, Auburn",-85.4878869,32.5948005
2383,MASTER OF SCIENCE HOTEL & RESTAURANT MANAGEMENT,Auburn University College of Human Sciences,/,USA,"Mell Street,261, 36849, Auburn",-85.4835067,32.6022031
2384,Master of Science in Mathematics,Auburn University College of Sciences and Mathematics,/,USA,", 36849, Auburn",-85.4929785,32.5909562
2385,Master of Science Degree in Physics,Auburn University College of Sciences and Mathematics,/,USA,", 36849, Auburn",-85.4929785,32.5909562
2386,Master of Engineering Management,Auburn University College of Engineering,/,USA,"West Magnolia Avenue,345, 36849, Auburn",-85.4874778,32.6060336
2387,Master of Science (M.S.),Auburn University College of Human Sciences,/,USA,"Mell Street,261, 36849, Auburn",-85.4835067,32.6022031
2388,Applied Economics,Auburn University College of Liberal Arts,/,USA,", 36849, Auburn",-85.4929785,32.5909562
2389,Master of Social Work,Auburn University College of Liberal Arts,/,USA,", 36849, Auburn",-85.4929785,32.5909562
2390,Master of Science - Aerospace Engineering,Auburn University College of Engineering,/,USA,"West Magnolia Avenue,345, 36849, Auburn",-85.4874778,32.6060336
2391,Master of Science - Mechanical Engineering,Auburn University College of Engineering,/,USA,"West Magnolia Avenue,345, 36849, Auburn",-85.4874778,32.6060336
2392,M.S. in Consumer and Design Sciences,Auburn University College of Human Sciences,/,USA,"Mell Street,261, 36849, Auburn",-85.4835067,32.6022031
2393,Master of Health Administration,Pfeiffer University School of Graduate Studies,/,USA,"Pfeiffer University School Charlotte Campus 4701 Park Road, 28209, Charlotte",-80.8488498,35.1811188
2394,Master of Science in Organizational Change and Leadership (MSL),Pfeiffer University School of Graduate Studies,/,USA,"Pfeiffer University School Charlotte Campus 4701 Park Road, 28209, Charlotte",-80.8488498,35.1811188
2395,Master of Science in Information Systems,DeSales University,/,USA,"Station Avenue,2755, 18034, Center Valley",-75.379214,40.538786
2396,Computer Science (M.S.),Bowie State University College of Arts and Sciences,/,USA,"Jericho Park Road,14000, 20715, Bowie",-76.7594039,39.0192914
2397,Organizational Communications (M.A.),Bowie State University College of Arts and Sciences,/,USA,"Jericho Park Road,14000, 20715, Bowie",-76.7594039,39.0192914
2398,Human Resource Development (M.A.),Bowie State University,/,USA,"Jericho Park Road,14000, 20715, Bowie",-76.7594039,39.0192914
2399,"Microbiology, M.S.",University Of South Florida Tampa,/,USA,"East Fowler Avenue,4202, 33620, Tampa",-82.4098765,28.0583276
2400,M.A. in Economics,University Of South Florida Tampa,/,USA,"East Fowler Avenue,4202, 33620, Tampa",-82.4098765,28.0583276
2401,"Supply Chain Management and Applied Analytics, (M.S.)",University of Rhode Island Online,/,USA,"Upper College Road,45, 02881, South Kingstown",-71.5256805,41.4837189
2402,"Dietetics, M.S.",University of Rhode Island Online,/,USA,"Upper College Road,45, 02881, South Kingstown",-71.5256805,41.4837189
2403,Master of Science in Electrical Engineering,Weber State University,/,USA,"Harrison Boulevard,3848, 84408, Ogden",-111.9446352,41.1925336
2404,Master of Science in Computer Science,Weber State University,/,USA,"Harrison Boulevard,3848, 84408, Ogden",-111.9446352,41.1925336
